GRB130104721,1
GRB130106829,1
GRB130106995,0
GRB130109206,1
GRB130112286,1
GRB130112353,1
GRB130114019,1
GRB130115716,1
GRB130116415,0
GRB130117087,1
GRB130118482,1
GRB130121835,1
GRB130123843,1
GRB130127299,1
GRB130127743,1
GRB130131511,0
GRB130204484,1
GRB130206482,1
GRB130206817,1
GRB130208684,0
GRB130209961,0
GRB130213905,1
GRB130214137,1
GRB130214800,1
GRB130215063,1
GRB130215649,0
GRB130216790,1
GRB130216927,1
GRB130217688,1
GRB130218261,0
GRB130219197,0
GRB130219626,1
GRB130219775,1
GRB130220964,1
GRB130224370,1
GRB130228111,0
GRB130228212,0
GRB130304410,1
GRB130304658,1
GRB130305486,1
GRB130305526,1
GRB130306991,0
GRB130307126,1
GRB130307238,1
GRB130310840,0
GRB130314147,1
GRB130318456,1
GRB130320560,1
GRB130324042,1
GRB130325005,1
GRB130325203,1
GRB130327350,0
GRB130331566,1
GRB130403866,1
GRB130404428,1
GRB130404840,1
GRB130404877,1
GRB130406288,1
GRB130406334,1
GRB130406354,1
GRB130407800,1
GRB130408653,1
GRB130409960,0
GRB130416690,1
GRB130416770,1
GRB130418844,1
GRB130420313,1
GRB130420343,1
GRB130420422,1
GRB130420539,1
GRB130425327,0
GRB130427324,0
GRB130502327,0
GRB130502743,1
GRB130503214,1
GRB130504314,1
GRB130504978,0
GRB130505955,0
GRB130507545,1
GRB130509078,1
GRB130509839,1
GRB130510877,1
GRB130514560,1
GRB130515056,1
GRB130515430,1
GRB130517781,1
GRB130518551,1
GRB130518580,0
GRB130522510,-1
GRB130523095,0
GRB130523198,1
GRB130527627,1
GRB130528503,1
GRB130528695,0
GRB130530719,1
GRB130604033,0
GRB130606316,1
GRB130606497,0
GRB130609129,1
GRB130609902,1
GRB130610133,1
GRB130611538,1
GRB130612141,1
GRB130612456,1
GRB130614997,1
GRB130615398,1
GRB130617564,1
GRB130620498,1
GRB130622615,1
GRB130623130,0
GRB130623396,1
GRB130623488,0
GRB130623699,1
GRB130623790,0
GRB130624093,1
GRB130626452,1
GRB130626596,1
GRB130627372,1
GRB130628531,1
GRB130628860,1
GRB130630272,1
GRB130701060,1
GRB130701761,1
GRB130702004,1
GRB130702951,1
GRB130704560,1
GRB130705398,1
GRB130706900,1
GRB130707505,0
GRB130708488,1
GRB130715906,0
GRB130716352,1
GRB130716442,1
GRB130717734,0
GRB130720116,1
GRB130720582,0
GRB130722021,1
GRB130722990,1
GRB130723092,1
GRB130725527,1
GRB130727698,1
GRB130730243,1
GRB130802730,1
GRB130803419,1
GRB130804023,1
GRB130808253,1
GRB130811186,1
GRB130813791,1
GRB130815420,0
GRB130815660,0
GRB130816074,0
GRB130818941,1
GRB130819394,1
GRB130821674,0
GRB130828306,0
GRB130828808,1
GRB130829672,1
GRB130830864,1
GRB130830921,1
GRB130831058,1
GRB130903033,0
GRB130905377,1
GRB130906222,1
GRB130906435,1
GRB130907760,1
GRB130912358,1
GRB130919173,-1
GRB130919352,0
GRB130919985,1
GRB130924255,1
GRB130924910,1
GRB130925173,1
GRB130925546,0
GRB130928537,1
GRB130929375,0
GRB131002288,1
GRB131004904,1
GRB131006367,1
GRB131006840,0
GRB131008858,1
GRB131011741,1
GRB131014215,1
GRB131014513,1
GRB131018673,1
GRB131020113,1
GRB131021352,1
GRB131024900,0
GRB131028076,0
GRB131028096,0
